case_id,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0001,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Office' not aggregated into any storey,Aggregate space into storey 'Mezzanine',Spaces must belong to a storey for room-based analysis.
SC_0002,missing_property,IfcSlab,low,True,IfcSlab is missing 'ThermalTransmittance' in Pset_SlabCommon,Add property 'ThermalTransmittance' with default value to Pset_SlabCommon,ThermalTransmittance is required by IFC schema for IfcSlab. A safe default is applied.
SC_0003,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_383' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0004,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Stairwell' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0005,missing_property,IfcWall,low,True,IfcWall is missing 'ExtendToStructure' in Pset_WallCommon,Add property 'ExtendToStructure' with default value to Pset_WallCommon,ExtendToStructure is required by IFC schema for IfcWall. A safe default is applied.
SC_0006,broken_spatial_containment,IfcStair,high,True,IfcStair 'Stair_460' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0007,invalid_reference,IfcCurtainWall,medium,False,IfcCurtainWall references a IfcCurtainWallType that does not exist in the model,Remove broken type reference or create missing IfcCurtainWallType,Orphan type references break downstream tools.
SC_0008,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_079' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0009,missing_property,IfcBeam,high,True,IfcBeam is missing 'LoadBearing' in Pset_BeamCommon,Add property 'LoadBearing' with default value to Pset_BeamCommon,LoadBearing is required by IFC schema for IfcBeam. A safe default is applied.
SC_0010,missing_property,IfcRailing,low,True,IfcRailing is missing 'Height' in Pset_RailingCommon,Add property 'Height' with default value to Pset_RailingCommon,Height is required by IFC schema for IfcRailing. A safe default is applied.
SC_0011,invalid_reference,IfcDoor,medium,False,IfcDoor references a IfcDoorType that does not exist in the model,Remove broken type reference or create missing IfcDoorType,Orphan type references break downstream tools.
SC_0012,naming_inconsistency,IfcMember,low,True,IfcMember has None Name attribute,Set Name to 'Member_491',"All elements need unique, meaningful names for schedules and coordination."
SC_0013,naming_inconsistency,IfcSpace,medium,True,Multiple IfcSpace entities share name 'Space_001',Set Name to 'Space_150',"All elements need unique, meaningful names for schedules and coordination."
SC_0014,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Parking' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0015,naming_inconsistency,IfcWall,low,True,IfcWall has empty Name attribute,Set Name to 'Wall_930',"All elements need unique, meaningful names for schedules and coordination."
SC_0016,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Reception' not aggregated into any storey,Aggregate space into storey 'Level 03',Spaces must belong to a storey for room-based analysis.
SC_0017,missing_property,IfcCurtainWall,low,True,IfcCurtainWall is missing 'Reference' in Pset_CurtainWallCommon,Add property 'Reference' with default value to Pset_CurtainWallCommon,Reference is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0018,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Reception' assigned to 'Ground Floor' but elevation matches 'Level 03',Reassign space from 'Ground Floor' to 'Level 03' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0019,wrong_level_assignment,IfcDoor,medium,False,IfcDoor 'Door_730' at z=12.0m assigned to 'Level 05' instead of 'Level 02',Reassign from 'Level 05' to 'Level 02',Element placement doesn't match assigned storey elevation.
SC_0020,geometry_clash,IfcSlab,medium,False,Bounding-box clash between IfcSlab 'Slab_101' and IfcBeam 'Beam_735' (overlap 0.15m),Flag clash for manual resolution between Slab_101 and Beam_735,IfcSlab-IfcBeam intersection detected. Requires design review.
SC_0021,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Lobby' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0022,missing_material,IfcPlate,medium,False,IfcPlate has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Glass),Material needed for quantity takeoff and analysis. Suggested: Glass.
SC_0023,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Server Room' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0024,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Kitchen' assigned to 'Mezzanine' but elevation matches 'Penthouse',Reassign space from 'Mezzanine' to 'Penthouse' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0025,wrong_level_assignment,IfcWindow,medium,False,IfcWindow 'Window_251' at z=9.0m assigned to 'Level 02' instead of 'Level 01',Reassign from 'Level 02' to 'Level 01',Element placement doesn't match assigned storey elevation.
SC_0026,missing_material,IfcMember,medium,False,IfcMember has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Masonry),Material needed for quantity takeoff and analysis. Suggested: Masonry.
SC_0027,naming_inconsistency,IfcCurtainWall,low,True,Multiple IfcCurtainWall entities share name 'CurtainWall_001',Set Name to 'CurtainWall_261',"All elements need unique, meaningful names for schedules and coordination."
SC_0028,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Loading Dock' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0029,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Meeting Room' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0030,broken_spatial_containment,IfcBeam,high,True,IfcBeam 'Beam_460' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 05',Every physical element must be spatially contained for coordination.
SC_0031,invalid_reference,IfcStair,low,True,IfcStair has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0032,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_155' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0033,broken_spatial_containment,IfcBeam,high,True,IfcBeam 'Beam_392' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 04',Every physical element must be spatially contained for coordination.
SC_0034,geometry_clash,IfcSlab,medium,False,Bounding-box clash between IfcSlab 'Slab_213' and IfcWall 'Wall_693' (overlap 0.12m),Flag clash for manual resolution between Slab_213 and Wall_693,IfcSlab-IfcWall intersection detected. Requires design review.
SC_0035,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_019' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0036,missing_property,IfcFooting,low,True,IfcFooting is missing 'Reference' in Pset_FootingCommon,Add property 'Reference' with default value to Pset_FootingCommon,Reference is required by IFC schema for IfcFooting. A safe default is applied.
SC_0037,geometry_clash,IfcColumn,high,False,Bounding-box clash between IfcColumn 'Column_385' and IfcColumn 'Column_627' (overlap 0.16m),Flag clash for manual resolution between Column_385 and Column_627,IfcColumn-IfcColumn intersection detected. Requires design review.
SC_0038,naming_inconsistency,IfcCurtainWall,low,True,IfcCurtainWall has empty Name attribute,Set Name to 'CurtainWall_501',"All elements need unique, meaningful names for schedules and coordination."
SC_0039,missing_property,IfcSlab,high,True,IfcSlab is missing 'LoadBearing' in Pset_SlabCommon,Add property 'LoadBearing' with default value to Pset_SlabCommon,LoadBearing is required by IFC schema for IfcSlab. A safe default is applied.
SC_0040,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Elevator Shaft' not aggregated into any storey,Aggregate space into storey 'Roof Level',Spaces must belong to a storey for room-based analysis.
SC_0041,geometry_clash,IfcSlab,medium,False,Bounding-box clash between IfcSlab 'Slab_106' and IfcBeam 'Beam_643' (overlap 0.1m),Flag clash for manual resolution between Slab_106 and Beam_643,IfcSlab-IfcBeam intersection detected. Requires design review.
SC_0042,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_232' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 04',Every physical element must be spatially contained for coordination.
SC_0043,wrong_level_assignment,IfcWindow,medium,False,IfcWindow 'Window_601' at z=15.0m assigned to 'Level 05' instead of 'Level 03',Reassign from 'Level 05' to 'Level 03',Element placement doesn't match assigned storey elevation.
SC_0044,naming_inconsistency,IfcRamp,low,True,Multiple IfcRamp entities share name 'Ramp_001',Set Name to 'Ramp_775',"All elements need unique, meaningful names for schedules and coordination."
