case_id,split,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0001,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_529' and IfcColumn 'Column_179' (overlap 0.29m),Adjust wall length to abut column face (adjusted length by -0.29m),Wall should stop at structural column face. Shortening wall geometry.
SC_0002,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 04' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0003,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_440' and IfcBeam 'Beam_672' (overlap 0.26m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0004,train,broken_spatial_containment,IfcStair,high,True,IfcStair 'Stair_040' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0005,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_940' and IfcSpace 'Space_895' (overlap 0.29m),Resolve space boundary overlap (split at x=5.76),Spaces share overlapping volume. Splitting along centerline.
SC_0006,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Reception' assigned to 'Basement 1' but elevation matches 'Level 05',Reassign space from 'Basement 1' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0007,train,missing_property,IfcWall,low,True,IfcWall is missing 'SurfaceSpreadOfFlame' in Pset_WallCommon,Add property 'SurfaceSpreadOfFlame' with default value to Pset_WallCommon,SurfaceSpreadOfFlame is required by IFC schema for IfcWall. A safe default is applied.
SC_0008,train,naming_inconsistency,IfcFooting,low,True,IfcFooting has empty Name attribute,Set Name to 'Footing_147',"All elements need unique, meaningful names for schedules and coordination."
SC_0009,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_557' and IfcColumn 'Column_038' (overlap 0.13m),Adjust wall length to abut column face (adjusted length by -0.13m),Wall should stop at structural column face. Shortening wall geometry.
SC_0010,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Storage' assigned to 'Mezzanine' but elevation matches 'Ground Floor',Reassign space from 'Mezzanine' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0011,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_612' and IfcDoor 'Door_225' (overlap 0.41m),Align door frame with wall opening (snapped +0.41m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0012,train,missing_material,IfcRoof,medium,False,IfcRoof has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Steel),Material needed for quantity takeoff and analysis. Suggested: Steel.
SC_0013,train,naming_inconsistency,IfcFooting,low,True,Multiple IfcFooting entities share name 'Footing_001',Set Name to 'Footing_996',"All elements need unique, meaningful names for schedules and coordination."
SC_0014,train,naming_inconsistency,IfcPile,low,True,Multiple IfcPile entities share name 'Pile_001',Set Name to 'Pile_427',"All elements need unique, meaningful names for schedules and coordination."
SC_0015,train,missing_property,IfcDoor,medium,True,IfcDoor is missing 'FireRating' in Pset_DoorCommon,Add property 'FireRating' with default value to Pset_DoorCommon,FireRating is required by IFC schema for IfcDoor. A safe default is applied.
SC_0016,train,naming_inconsistency,IfcPile,low,True,IfcPile has empty Name attribute,Set Name to 'Pile_419',"All elements need unique, meaningful names for schedules and coordination."
SC_0017,train,geometry_clash,IfcBeam,medium,False,Soft clash between IfcBeam 'Beam_556' and IfcSlab 'Slab_317' (overlap 0.03m),Adjust beam elevation to sit below slab (dropped by 0.03m),Beam soffit intrudes slab. Elevation drop required.
SC_0018,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Storage' assigned to 'Mezzanine' but elevation matches 'Level 03',Reassign space from 'Mezzanine' to 'Level 03' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0019,train,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_482' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Basement 2',Every physical element must be spatially contained for coordination.
SC_0020,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_096' and IfcBeam 'Beam_671' (overlap 0.29m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0021,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Penthouse' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0022,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Ground Floor' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0023,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Loading Dock' not aggregated into any storey,Aggregate space into storey 'Level 01',Spaces must belong to a storey for room-based analysis.
SC_0024,train,missing_property,IfcCurtainWall,low,True,IfcCurtainWall is missing 'Reference' in Pset_CurtainWallCommon,Add property 'Reference' with default value to Pset_CurtainWallCommon,Reference is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0025,train,missing_property,IfcDoor,low,True,IfcDoor is missing 'AcousticRating' in Pset_DoorCommon,Add property 'AcousticRating' with default value to Pset_DoorCommon,AcousticRating is required by IFC schema for IfcDoor. A safe default is applied.
SC_0026,train,wrong_level_assignment,IfcWall,medium,False,IfcWall 'Wall_986' at z=3.0m assigned to 'Ground Floor' instead of 'Basement 1',Reassign from 'Ground Floor' to 'Basement 1',Element placement doesn't match assigned storey elevation.
SC_0027,train,missing_property,IfcWindow,low,True,IfcWindow is missing 'GlazingAreaFraction' in Pset_WindowCommon,Add property 'GlazingAreaFraction' with default value to Pset_WindowCommon,GlazingAreaFraction is required by IFC schema for IfcWindow. A safe default is applied.
